gameid,Gameplay,Social,Market,Narrative,Graphics,Technical,Audio,Content
10,0.3548,0.1784,-0.292,0.362,,0.4588,0.1901,
20,-0.638766667,0.36355,,0.5423,,,,
30,0.301422222,-0.02106,0.4939,,0.3612,-0.3484,0,
40,0.041026667,0.120531579,-0.004975,0.0246,0.5106,-0.415966667,,
50,-0.58156,,-0.1779,,,-0.45485,,
60,0.43335,0.2979375,-0.476,0.5785,,,-0.6996,
70,-0.022278571,0.6705,0.3976,0.3945,-0.08525,0,,
80,-0.316525,-0.057755556,,,,-0.34,0,0.5423
130,0.062710526,-0.31845,,0.015671429,0.6901,-0.3399,,
220,-0.3822,,0.2048,0.3395,,,,
240,-0.05785,0.071066667,0.6124,,,,,
280,-0.071893333,-0.1497,0.000533333,-0.1088,-0.3149,-0.3605,-0.0258,
300,0.09135,0.1976,0.11452,,,,,
320,0.11802,0.26588,,,,-0.00835,,
340,0.66098,0,0.094866667,,,,,
360,-0.297275,0.240561538,0.38295,0,,-0.5859,,
380,-0.325116667,,0,0.8517,,-0.4215,,
400,,,-0.1223,0.03005,,,0.4019,
420,0.1591,0.5267,,0.4674,0.2849,,0.46455,
440,,0.3785,-0.3612,,,0.0339,,
500,-0.1674,0.06974,0.344933333,-0.126881818,0.7906,,,
550,0.66905,-0.802,0.097466667,0.341066667,0,-0.0129,,
570,-0.1821,,,,,,,
620,0.4639,-0.5719,0,0.26908,0.34,0.296,,
630,-0.17935,0.365077778,0.6757,,,0.6344,,0
730,-0.227933333,,,,,,,
1200,-0.1828875,0.08,0.6166,0.3716,0,0.0772,-0.5023,
1250,-0.225536842,0.280127273,-0.091066667,0.129475,,,0.7269,0.088763636
1510,0.101007143,0.153411111,-0.0942,-0.061975,,-0.23835,-0.6705,
1520,0.058984615,-0.141433333,0.7354,0.0123,0.52075,-0.119075,-0.6808,
1700,0.052466667,0.6836,0.1465,0.130690476,0.1446,0.343107692,0.0446,
1840,,,,0,0.07475,0.5106,,
1930,-0.1511125,-0.24695,0.2718,0.208275,-0.0042,,-0.124615,
2100,-0.243575,0.29994,0.1909,0.28872,0.084933333,-0.582716667,,
2200,0.15835,0.152228571,-0.23765,0.3167,,-0.01585,,
2210,-0.255260417,0.159336842,0.0952,-0.073225,-0.478614286,-0.3089,0.189966667,
2270,-0.024714286,0.042466667,-0.1027,0,0.294733333,0,0.10115,
2280,0.0272375,,0.23235,0.1697,,0.318366667,,
2300,0.600733333,0.34,,0.7964,0.11505,0.252775,-0.3089,
2310,0.52475,0.45755,0.0386,0.041825,,0.4493,-0.019441667,
